category,ticker_count,top_ticker
alleged_sec_securities,10,ADA-USD
privacy,10,DASH-USD
polkadot_ecosystem,10,DOT-USD
play_to_earn,10,FLOKI-USD
fan_token,10,PSG-USD
binance_ecosystem,10,ADA-USD
media,10,BABYDOGE-USD
boostvc_portfolio,10,DOT-USD
multiversx_ecosystem,10,UTK-USD
kenetic_capital_portfolio,10,FTT-USD
seedify,10,SWORLD-USD
generative_ai,9,BABYDOGE-USD
real_world_assets_protocols,9,XAUT-USD
marketplace,9,GT-USD
made_in_america,9,XLM-USD
cosmos_ecosystem,9,OSMO-USD
smart_contracts,9,XLM-USD
optimism_ecosystem,9,DOT-USD
insurance,9,DSLA-USD
binance_launchpad,9,BTT-USD
dao_maker,9,GMM-USD
sports,9,PSG-USD
eur_stablecoin,9,EURT-USD
masternodes,9,DASH-USD
content_creation,9,BABYDOGE-USD
tron_ecosystem,9,BTT-USD
framework_ventures_portfolio,9,AAVE-USD
placeholder_ventures_portfolio,9,DOT-USD
1confirmation_portfolio,9,CKB-USD
huobi_capital_portfolio,9,CKB-USD
cms_holdings_portfolio,9,CKB-USD
logistics,9,PPT-USD
poolz_finance_portfolio,9,SDAO-USD
loyalty,9,BABYDOGE-USD
harmony_ecosystem,9,DSLA-USD
e-commerce,9,ELMON-USD
research,9,CKB-USD
polkastarter,9,MAHA-USD
celo_ecosystem,9,CELO-USD
scaling,9,CKB-USD
asset_management,9,WXT-USD
bluezilla,9,VLXPAD-USD
bullperks_launchpad,9,PKR-USD
exnetwork_capital_portfolio,9,FTT-USD
icetea_labs,9,BUNI-USD
depin,8,BTT-USD
robotics,8,IOTX-USD
fiat_stablecoin,8,USDP-USD
world_liberty_financial_portfolio,8,AAVE-USD
wallet,8,LRC-USD
metaverse,8,FLOKI-USD
layer_1,8,ADA-USD
ftx_bankruptcy_estate,8,FTT-USD
liquid_staking_derivatives,8,SD-USD
dwf_labs_portfolio,8,BONK-USD
arbitrum_ecosystem,8,DOT-USD
olympus_pro_ecosystem,8,PNG-USD
iot,8,IOTX-USD
polygon_ecosystem,8,BONK-USD
music,8,VIB-USD
terra_ecosystem,8,HAWK-USD
fantom_ecosystem,8,FRAX-USD
zksync_era_ecosystem,8,XVS-USD
blast_ecosystem,8,CYBRO-USD
governance,8,DASH-USD
doggone_doggerel,8,BONK-USD
interoperability,8,BTT-USD
storage,8,BTT-USD
made_in_china,8,GT-USD
velas_ecosystem,8,VLXPAD-USD
arrington_xrp_capital_portfolio,8,DOT-USD
pantera_capital_portfolio,8,DOT-USD
three_arrows_capital_portfolio,8,DOT-USD
fabric_ventures_portfolio,8,DOT-USD
polychain_capital_portfolio,8,DOT-USD
alameda_research_portfolio,8,AAVE-USD
coinfund_portfolio,8,DOT-USD
multicoin_capital_portfolio,8,SOL-USD
hashkey_capital_portfolio,8,XLM-USD
cronos_ecosystem,8,ELON-USD
parafi_capital,8,AAVE-USD
osmosis_ecosystem,8,OSMO-USD
defiance_capital_portfolio,8,AAVE-USD
vbc_ventures_portfolio,8,HOPR-USD
oxbull,8,SHOE-USD
account_abstraction,8,PLR-USD
polkafoundry_red_kite,8,BUNI-USD
soccer,8,PSG-USD
ai_&_big_data,7,VIRTUAL-USD
gaming,7,FLOKI-USD
prediction_markets,7,ROOM-USD
eigenlayer_ecosystem,7,PUFFER-USD
ai_agents,7,AI16Z-USD
stablecoin,7,USDT-USD
oracles,7,BAND-USD
bitcoin_ecosystem,7,QTUM-USD
distributed_computing,7,BTT-USD
decentralized_exchange_dex_token,7,JUP-USD
communications_&_social_media,7,TFUEL-USD
base_ecosystem,7,DOT-USD
brc-20,7,ORNJ-USD
ethereum_ecosystem,7,DOT-USD
x_layer_ecosystem,7,MAHA-USD
injective_ecosystem,7,BONK-USD
cardano_ecosystem,7,ADA-USD
synthetics,7,HZN-USD
animal_memes,7,MOG-USD
modular_blockchain,7,CKB-USD
move_to_earn,7,STEP-USD
yield_aggregator,7,BADGER-USD
usd_stablecoin,7,USDT-USD
dao,7,DASH-USD
dcg_portfolio,7,ETH-USD
a16z_portfolio,7,WLD-USD
blockchain_capital_portfolio,7,DOT-USD
paradigm_portfolio,7,LDO-USD
ferrum_network,7,FRM-USD
yield_farming,7,FRAX-USD
petrock_capital_portfolio,7,LITH-USD
wrapped_tokens,7,WEETH-USD
amm,7,JUP-USD
cybersecurity,7,UTK-USD
heco_ecosystem,7,DOT-USD
video,7,COS-USD
rollups,7,CKB-USD
tron_memes,7,SUNDOG-USD
real_estate,7,RIO-USD
fenbushi_capital_portfolio,7,BICO-USD
memes,6,BONK-USD
bnb_chain_ecosystem,6,FLOKI-USD
restaking,6,PUFFER-USD
algorithmic_stablecoin,6,FEI-USD
defi,6,XLM-USD
near_protocol_ecosystem,6,AAVE-USD
toncoin_ecosystem,6,UXLINK-USD
data_availability,6,LUMIA-USD
zero_knowledge_proofs,6,WLD-USD
gambling,6,SHFL-USD
energy,6,DIONE-USD
sharing_economy,6,TFUEL-USD
xdc_ecosystem,6,SRX-USD
entertainment,6,BABYDOGE-USD
spartan_group,6,DOT-USD
duckstarter,6,UFARM-USD
coinbase_ventures_portfolio,6,ETH-USD
winklevoss_capital_portfolio,6,ROSE-USD
rebase,6,STND-USD
yearn_partnerships,6,SUSHI-USD
ledgerprime_portfolio,6,RLY-USD
bounce_launchpad,6,ROOM-USD
sun_pump_ecosystem,6,SUNDOG-USD
chromia_ecosystem,6,CHR-USD
standard_crypto_portfolio,6,AAVE-USD
health,6,FITFI-USD
solana_ecosystem,5,JUP-USD
options,5,HGET-USD
us_strategic_crypto_reserve,5,ADA-USD
protocol-owned_liquidity,5,KLIMA-USD
btcfi,5,PSTAKE-USD
avalanche_ecosystem,5,AAVE-USD
metisdao_ecosystem,5,LINK-USD
internet_computer_ecosystem,5,DOGMI-USD
sei_ecosystem,5,CELR-USD
oasis_ecosystem,5,CELR-USD
hybrid_token_standard,5,DEFROGS-USD
mvb,5,BICO-USD
tokenized_real_estate,5,PRO-USD
gaming_guild,5,AVG-USD
defai,5,CGPT-USD
pump_fun_ecosystem,5,TROLL-USD
marketing,5,BABYDOGE-USD
identity,5,WLD-USD
launchpad,5,BABYDOGE-USD
galaxy_digital_portfolio,5,BTC-USD
dragonfly_capital_portfolio,5,1INCH-USD
usv_portfolio,5,HNT-USD
okx_ventures_portfolio,5,SOL-USD
moonriver_ecosystem,5,WBTC-USD
everscale_ecosystem,5,EVER-USD
celsius_bankruptcy_estate,5,FTT-USD
trustswap_launchpad,5,CELL-USD
paal_ecosystem,5,DIONE-USD
animoca_brands_portfolio,5,WILD-USD
seigniorage,5,FRAX-USD
discord_bots,5,CGPT-USD
kommunitas_launchpad,5,SHOE-USD
egirl_capital_portfolio,5,BLUR-USD
ai_agent_launchpad,4,VIRTUAL-USD
tokenized_commodities,4,XAUT-USD
tokenized_gold,4,XAUT-USD
sonic_ecosystem,4,ZF-USD
tokenized_assets,4,XAUT-USD
derivatives,4,JUP-USD
ai_memes,4,TURBO-USD
inscriptions,4,ORDI-USD
aptos_ecosystem,4,BONK-USD
political_memes,4,PATRIOT-USD
binance_launchpool,4,XVS-USD
analytics,4,ARKM-USD
ip_memes,4,TROLL-USD
desci,4,RIF-USD
telegram_bot,4,CGPT-USD
social_money,4,RLY-USD
launchzone,4,FOC-USD
tezos_ecosystem,4,VNXAU-USD
retail,4,LABZ-USD
social_token,4,UXLINK-USD
circle_ventures_portfolio,4,MAV-USD
jump_crypto,4,SEI-USD
virtuals_protocol_ecosystem,3,G3-USD
tourism,3,ARV-USD
hyperliquid_ecosystem,3,LINK-USD
sui_ecosystem,3,LINK-USD
cat-themed,3,KEYCAT-USD
canto_ecosystem,3,WCANTO-USD
linea_ecosystem,3,LINK-USD
celebrity_memes,3,MOTHER-USD
ai_applications,3,CGPT-USD
runes,3,LOBO-USD
x402_ecosystem,3,AIKEK-USD
intent,3,LUMIA-USD
polygon_ventures_portfolio,3,BCUT-USD
cmc_community_vote_winners,3,RETARDIO-USD
moon_knight_labs,3,BEM-USD
hacken_foundation,3,1ART-USD
shima_capital,3,BCUT-USD
education,3,HOOK-USD
doge_chain_ecosystem,3,YODE-USD
